Country,Jan,Feb,March,April,May,June
Monaco,0,0,1,4,4,4
Mongolia,0,0,0,0,0,0
Montenegro,0,0,2,7,9,12
Morocco,0,0,36,168,205,228
Mozambique,0,0,0,0,2,6
Namibia,0,0,0,0,0,0
Nepal,0,0,0,0,8,30
Netherlands,0,0,1040,4727,5981,6132
New Zealand,0,0,1,19,22,22
Nicaragua,0,0,1,3,35,83
Niger,0,0,3,32,65,67
Nigeria,0,0,2,51,299,603
North Macedonia,0,0,9,73,140,306
Norway,0,0,39,207,236,251
Oman,0,0,1,10,50,185
Pakistan,0,0,26,343,1621,4473
Panama,0,0,30,178,344,645
Papua New Guinea,0,0,0,0,0,0
Paraguay,0,0,3,9,11,19
Peru,0,0,30,943,4634,9860
Philippines,0,1,88,558,960,1270
Poland,0,0,33,624,1074,1477
Portugal,0,0,160,973,1424,1579
Qatar,0,0,2,10,40,115
Romania,0,0,82,693,1276,1667
Russia,0,0,17,972,4849,9521
Rwanda,0,0,0,0,1,3
Saint Kitts and Nevis,0,0,0,0,0,0
Saint Lucia,0,0,0,0,0,0
Saint Vincent and the Grenadines,0,0,0,0,0,0
San Marino,0,0,26,41,42,42
Sao Tome and Principe,0,0,0,0,12,13
Saudi Arabia,0,0,10,157,525,1698
Senegal,0,0,0,9,42,116
Serbia,0,0,16,125,244,281
Seychelles,0,0,0,0,0,0
Sierra Leone,0,0,0,4,46,60
Singapore,0,0,3,14,24,26
Slovakia,0,0,0,22,28,28
Slovenia,0,0,15,89,109,111
Somalia,0,0,0,28,79,90
South Africa,0,0,5,103,705,2749
South Sudan,0,0,0,0,10,38
Spain,0,0,8464,24275,27127,28364
Sri Lanka,0,0,2,7,11,11
Sudan,0,0,2,28,298,602
Suriname,0,0,0,1,1,13
Sweden,0,0,180,2462,4403,5370
Switzerland,0,0,433,1716,1920,1965
Syria,0,0,2,3,5,9
Taiwan*,0,1,5,6,7,7
Tajikistan,0,0,0,0,47,52
Tanzania,0,0,1,16,21,21
Thailand,0,0,10,54,57,58
Timor-Leste,0,0,0,0,0,0
Togo,0,0,1,7,13,14
Trinidad and Tobago,0,0,3,8,8,8
Tunisia,0,0,10,40,48,50
Turkey,0,0,214,3081,4563,5150
US,0,1,5367,60967,106136,128062
Uganda,0,0,0,0,0,0
Ukraine,0,0,17,250,724,1188
United Arab Emirates,0,0,6,98,266,316
United Kingdom,0,0,2429,26166,39127,43991
Uruguay,0,0,1,15,23,28
Uzbekistan,0,0,2,9,15,26
Venezuela,0,0,3,10,17,54
Vietnam,0,0,0,0,0,0
West Bank and Gaza,0,0,1,2,3,8
Western Sahara,0,0,0,0,1,1
Yemen,0,0,0,0,84,318
Zambia,0,0,0,3,7,30
Zimbabwe,0,0,1,4,4,7
