Country,Jan,Feb,March,April,May,June
Kyrgyzstan,0,0,3,437,1181,2530
Laos,0,0,0,7,16,19
Latvia,0,0,1,348,745,974
Lebanon,0,0,37,150,715,1223
Lesotho,0,0,0,0,1,11
Liberia,0,0,0,45,159,335
Libya,0,0,1,18,52,223
Liechtenstein,0,0,0,55,55,81
Lithuania,0,0,7,563,1236,1524
Luxembourg,0,0,80,3134,3845,4003
MS Zaandam,0,0,0,0,0,0
Madagascar,0,0,0,90,174,1006
Malawi,0,0,0,7,42,260
Malaysia,0,18,537,4087,6404,8375
Maldives,0,0,13,17,488,1954
Mali,0,0,0,129,744,1483
Malta,0,0,2,339,537,647
Mauritania,0,0,2,6,27,1677
Mauritius,0,0,0,306,322,326
Mexico,0,0,35,11423,66965,178526
Moldova,0,0,18,1114,4622,9594
Monaco,0,0,2,58,90,95
Mongolia,0,0,2,10,44,177
Montenegro,0,0,0,203,315,315
Morocco,0,0,24,928,5893,9026
Mozambique,0,0,0,12,97,248
Namibia,0,0,2,8,16,24
Nepal,0,1,1,16,221,4656
Netherlands,0,0,253,119,179,186
New Zealand,0,0,74,1241,1481,1490
Nicaragua,0,0,0,7,370,1238
Niger,0,0,0,435,844,943
Nigeria,0,0,8,307,3122,10152
North Macedonia,0,0,12,627,1569,2598
Norway,0,0,13,32,7727,8138
Oman,0,1,34,364,2682,24162
Pakistan,0,0,76,3425,27110,104694
Panama,0,0,9,527,9514,15945
Papua New Guinea,0,0,0,0,8,8
Paraguay,0,0,1,102,488,1102
Peru,0,0,394,10037,68507,178245
Philippines,0,1,49,1023,3979,10438
Poland,0,0,7,3025,11449,21791
Portugal,0,0,43,1470,19552,27798
Qatar,0,0,62,1243,33437,83965
Romania,0,0,220,3569,13426,19314
Russia,0,2,121,10286,175514,422235
Rwanda,0,0,0,98,262,480
Saint Kitts and Nevis,0,0,0,4,15,15
Saint Lucia,0,0,1,15,18,19
Saint Vincent and the Grenadines,0,0,1,8,15,29
San Marino,0,0,13,69,359,656
Sao Tome and Principe,0,0,0,4,68,252
Saudi Arabia,0,0,165,2953,64306,132760
Senegal,0,0,40,315,1858,4545
Serbia,0,0,0,870,6726,12772
Seychelles,0,0,0,6,11,11
Sierra Leone,0,0,0,12,475,999
Singapore,0,72,240,1188,22466,39011
Slovakia,0,0,3,484,1368,1466
Slovenia,0,0,10,230,1358,1384
Somalia,0,0,1,20,361,932
South Africa,0,0,31,2073,17291,76025
South Sudan,0,0,0,0,6,333
Spain,0,2,19259,108947,150376,150376
Sri Lanka,0,1,17,136,811,1748
Sudan,0,0,1,32,1522,4606
Suriname,0,0,0,8,9,242
Sweden,0,0,16,1005,0,0
Switzerland,0,0,1823,22600,28500,29200
Syria,0,0,0,21,46,110
Taiwan*,0,9,39,311,427,438
Tajikistan,0,0,0,0,2089,4627
Tanzania,0,0,1,167,183,183
Thailand,5,28,342,2665,2965,3059
Timor-Leste,0,0,0,6,24,24
Togo,0,0,10,64,215,414
Trinidad and Tobago,0,0,1,71,108,115
Tunisia,0,0,3,294,964,1038
Turkey,0,0,243,44040,128947,175422
US,0,7,7024,120720,458231,729994
Uganda,0,0,0,52,72,837
Ukraine,0,0,10,1103,10053,20244
United Arab Emirates,0,5,61,2329,18338,38160
United Kingdom,0,8,179,857,1221,1372
Uruguay,0,0,41,412,689,825
Uzbekistan,0,0,7,1096,2859,5847
Venezuela,0,0,39,142,302,1649
Vietnam,0,16,58,222,293,336
West Bank and Gaza,0,0,18,71,372,460
Western Sahara,0,0,0,5,6,8
Yemen,0,0,0,1,14,504
Zambia,0,0,0,54,912,1348
Zimbabwe,0,0,0,5,29,166
